Date,Open,High,Low,Close,Adj Close,Volume
2023-08-31,4071.75,4088.67,4061.76,4082.87,4082.87,129530000
2023-08-30,4084.81,4092.80,4066.93,4067.18,4067.18,145380000
2023-08-29,4099.52,4106.14,4071.31,4084.81,4084.81,122680000
2023-08-28,4099.49,4118.34,4094.80,4099.52,4099.52,178210000
2023-08-24,4098.58,4115.52,4094.19,4106.69,4106.69,136590000
2023-08-23,4067.61,4114.71,4065.35,4099.49,4099.49,182870000
2023-08-22,4053.64,4073.85,4048.43,4068.52,4068.52,215130000
2023-08-21,4052.42,4059.70,4042.24,4053.64,4053.64,179950000
2023-08-17,4045.64,4053.12,4031.46,4049.09,4049.09,179950000
2023-08-16,4051.19,4051.86,4018.19,4045.64,4045.64,275540000
2023-08-15,4059.70,4070.92,4041.63,4051.19,4051.19,265890000
2023-08-14,4067.05,4071.05,4050.65,4058.79,4058.79,117810000
2023-08-10,4069.63,4071.49,4036.81,4048.85,4048.85,183700000
2023-08-09,4078.65,4081.12,4053.66,4070.54,4070.54,197760000
2023-08-08,4081.25,4087.93,4062.34,4077.34,4077.34,292890000
2023-08-07,4084.10,4089.21,4060.09,4079.42,4079.42,212820000
2023-08-03,4083.71,4087.54,4043.64,4051.18,4051.18,221050000
2023-08-02,4080.93,4095.61,4057.72,4083.71,4083.71,264600000
2023-08-01,4060.19,4084.02,4051.85,4077.28,4077.28,191140000
2023-07-31,4035.97,4064.03,4015.16,4059.27,4059.27,172930000
2023-07-27,4037.93,4053.89,4023.92,4029.24,4029.24,236820000
2023-07-26,4019.42,4044.27,4012.07,4039.48,4039.48,286920000
2023-07-25,3993.83,4018.31,3991.49,4014.86,4014.86,210370000
2023-07-24,3986.36,4009.17,3975.61,3993.83,3993.83,169780000
2023-07-20,3987.76,3989.29,3976.41,3986.36,3986.36,137600000
2023-07-18,4010.74,4047.16,4000.82,4021.96,4021.96,308780000
2023-07-17,4010.74,4018.95,3994.24,4018.95,4018.95,287420000
2023-07-13,3988.90,4020.17,3987.03,4004.69,4004.69,373040000
2023-07-12,3985.41,4003.25,3971.37,3987.07,3987.07,99208000
2023-07-11,3979.10,3987.53,3961.84,3977.27,3977.27,317720000
